"","study","germplasmName","trait","predicted.value","std.error","status"
"52","Pr_Stj_21","19-14856","Grain.yield...bu.ac",98.1276928647214,4.22571689982923,"Estimable"
"53","Pr_Stj_21","19-14933","Grain.yield...bu.ac",87.7691843452368,4.26993009841369,"Estimable"
"54","Pr_Stj_21","19-15017","Grain.yield...bu.ac",81.1415199733205,4.19508385759238,"Estimable"
"55","Pr_Stj_21","19-15201","Grain.yield...bu.ac",77.2722233040685,4.63467174081793,"Estimable"
"56","Pr_Stj_21","19-15209","Grain.yield...bu.ac",81.3385551283284,4.24741254604036,"Estimable"
"57","Pr_Stj_21","19-15327","Grain.yield...bu.ac",98.3068534637905,4.96863650247381,"Estimable"
"58","Pr_Stj_21","19-15330","Grain.yield...bu.ac",89.5049112844659,4.48860868878511,"Estimable"
"59","Pr_Stj_21","19-15338","Grain.yield...bu.ac",97.0075241954854,4.68627019501519,"Estimable"
"60","Pr_Stj_21","19-15344","Grain.yield...bu.ac",89.2793797587726,4.24905187165179,"Estimable"
"61","Pr_Stj_21","19-15472","Grain.yield...bu.ac",87.2964736267065,3.17321544297088,"Estimable"
"62","Pr_Stj_21","19-1551","Grain.yield...bu.ac",86.6923007709081,4.28238149043761,"Estimable"
"63","Pr_Stj_21","19-15728","Grain.yield...bu.ac",81.7335355225863,4.2265637476483,"Estimable"
"64","Pr_Stj_21","19-16059","Grain.yield...bu.ac",83.8394728871366,3.4573109785701,"Estimable"
"65","Pr_Stj_21","19-16064","Grain.yield...bu.ac",80.9720705812647,3.56845064547196,"Estimable"
"66","Pr_Stj_21","19-16068","Grain.yield...bu.ac",90.4371871229957,4.75139579805734,"Estimable"
"67","Pr_Stj_21","19-16107","Grain.yield...bu.ac",81.1718663458131,4.57758045607749,"Estimable"
"68","Pr_Stj_21","19-16129","Grain.yield...bu.ac",91.1706354545421,3.61818417857432,"Estimable"
"69","Pr_Stj_21","19-16136","Grain.yield...bu.ac",96.8321454310737,3.70528138229295,"Estimable"
"70","Pr_Stj_21","19-16139","Grain.yield...bu.ac",92.865227208673,3.66433717017879,"Estimable"
"71","Pr_Stj_21","19-16142","Grain.yield...bu.ac",89.4905480897866,4.23342109362536,"Estimable"
"72","Pr_Stj_21","19-16152","Grain.yield...bu.ac",88.1817212999002,4.26821831147559,"Estimable"
"73","Pr_Stj_21","19-16176","Grain.yield...bu.ac",93.6854765268521,4.51914843630088,"Estimable"
