"","name","studyName","germplasmDbId","trait","predicted.value","standard.error","upper.Confidence.limit","lower.Confidence.limit","est.status"
"41","09169A1-2-1","PNU_Scb_21","280805","FHB.grain.incidence.....",24.8442200758711,6.68818802479382,37.9970465190396,11.6913936327026,"Estimable"
"42","09169A1-2-1","PNU_Scb_21","280805","FHB.incidence.....",22.7000534056765,10.3728928973296,43.0991300294767,2.30097678187628,"Estimable"
"43","09169A1-2-1","PNU_Scb_21","280805","FHB.severity.....",18.6490014500376,5.93861070093661,30.3277275225407,6.97027537753448,"Estimable"
"44","09169A1-2-1","PNU_Scb_21","280805","Heading.time...Julian.date..JD..",138.066327679521,0.662288305974701,139.368767609669,136.763887749374,"Estimable"
"45","10523RA1-21-48","PNU_Scb_21","280807","FHB.grain.incidence.....",8.64472578959314,6.68874848164957,21.7986544134607,-4.50920283427443,"Estimable"
"46","10523RA1-21-48","PNU_Scb_21","280807","FHB.incidence.....",15.3759792234346,10.4084208763198,35.8449242988695,-5.09296585200039,"Estimable"
"47","10523RA1-21-48","PNU_Scb_21","280807","FHB.severity.....",14.5963789509467,6.01858735288643,26.4323851445682,2.76037275732533,"Estimable"
"48","10523RA1-21-48","PNU_Scb_21","280807","Heading.time...Julian.date..JD..",138.043103016625,0.6675687315989,139.355927302225,136.730278731026,"Estimable"
"49","16VDH-SRW03-018","PNU_Scb_21","280810","FHB.grain.incidence.....",5.35308966819079,6.68368417550432,18.4970589518699,-7.79087961548829,"Estimable"
"50","16VDH-SRW03-018","PNU_Scb_21","280810","FHB.incidence.....",38.0519042819707,10.4071208637086,58.5182927845064,17.585515779435,"Estimable"
"51","16VDH-SRW03-018","PNU_Scb_21","280810","FHB.severity.....",26.039097921225,6.00787799598523,37.8540433563694,14.2241524860807,"Estimable"
"52","16VDH-SRW03-018","PNU_Scb_21","280810","Heading.time...Julian.date..JD..",137.228646493796,0.66714706801108,138.540641546131,135.91665144146,"Estimable"
"53","17VDH-SRW03-143","PNU_Scb_21","280811","FHB.grain.incidence.....",20.3600724106322,6.68825390232219,33.5130284069314,7.20711641433299,"Estimable"
"54","17VDH-SRW03-143","PNU_Scb_21","280811","FHB.incidence.....",22.4694851588865,10.4086864707613,42.9389525458326,2.00001777194045,"Estimable"
"55","17VDH-SRW03-143","PNU_Scb_21","280811","FHB.severity.....",21.126669682632,6.02090764324619,32.9672389023356,9.28610046292838,"Estimable"
"56","17VDH-SRW03-143","PNU_Scb_21","280811","Heading.time...Julian.date..JD..",138.279612161662,0.667657233073045,139.592610492089,136.966613831235,"Estimable"
"57","17VDH-SRW05-170","PNU_Scb_21","280812","FHB.grain.incidence.....",13.4408349974781,6.67844966716199,26.5745102255046,0.3071597694516,"Estimable"
"58","17VDH-SRW05-170","PNU_Scb_21","280812","FHB.incidence.....",45.4741128552676,10.4082780809703,65.9427771128724,25.0054485976629,"Estimable"
"59","17VDH-SRW05-170","PNU_Scb_21","280812","FHB.severity.....",25.1813611850638,6.01710237246093,37.0144470526215,13.3482753175062,"Estimable"
"60","17VDH-SRW05-170","PNU_Scb_21","280812","Heading.time...Julian.date..JD..",138.539051773409,0.667517166306866,139.85177465197,137.226328894847,"Estimable"
"61","DH13SRW022-216","PNU_Scb_21","280813","FHB.grain.incidence.....",12.2751033187937,6.68851255980251,25.4285679845463,-0.878361346958936,"Estimable"
"62","DH13SRW022-216","PNU_Scb_21","280813","FHB.incidence.....",42.7000518643903,10.3728928962083,63.0991284859852,22.3009752427953,"Estimable"
"63","DH13SRW022-216","PNU_Scb_21","280813","FHB.severity.....",19.315669194216,5.9386106939118,30.9943952529043,7.63694313552771,"Estimable"
"64","DH13SRW022-216","PNU_Scb_21","280813","Heading.time...Julian.date..JD..",137.732994781753,0.662288303969476,139.035434707957,136.430554855549,"Estimable"
"65","KWS338","PNU_Scb_21","280816","FHB.grain.incidence.....",21.0823480956751,6.68363203120043,34.2262148336457,7.93848135770439,"Estimable"
"66","KWS338","PNU_Scb_21","280816","FHB.incidence.....",38.3806088764896,10.3734300224543,58.780741797379,17.9804759556001,"Estimable"
"67","KWS338","PNU_Scb_21","280816","FHB.severity.....",14.6510719758177,5.94348492561529,26.3393835789617,2.96276037267368,"Estimable"
"68","KWS338","PNU_Scb_21","280816","Heading.time...Julian.date..JD..",137.302542194241,0.66247032382849,138.605340076233,135.999744312249,"Estimable"
"69","KWS342","PNU_Scb_21","280819","FHB.grain.incidence.....",6.91798712122334,6.68336395126596,20.0613266597735,-6.22535241732679,"Estimable"
